id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,meses_transcurridos,meses_transcurridos_fecha,tipo,Estado,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,Colonia,CP,ubicacion,url,descripcion,fecha_estandarizada
1,,8000000,8000000,444999.64,2024-09-19,Casa - Tulancingo de Bravo,482,460,16597.510373443984,17391.304347826088,2023-03-29,13,2024-04-30,Casa,Venta,0,5,5,0,5.0,No,Felipe Ángeles,0,"Felipe Ángeles, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-60adaf87eb8e-1677-853f180a-b1be-3423,"Casa con amplios espacios en calle privada sobre avenida principal y excelente ubicación, a solo una calle dela antigua Estación del Tren, 480 metros de terreno y 460 metros de construcción con 200 metros de jardín, 5 recamaras incluida la recamara de servicio, 6 baños (4 completos y 2 medios baños) acceso principal con amplio vestíbulo que conecta con la sala de doble altura, el comedor, estudio, cocina y escaleras, la casa esta distribuida sobre 4 desniveles y cuenta con accesos independientes para las áreas de servicio, áreas comunes y áreas privadas. La cocina es muy espaciosa e incluye un cuarto para despensa y desayunador con vista al jardín, la casa cuenta también con sala de TV, salón de fiestas, bodega, espacio para una oficina privada, un tapanco (estudio) que comunica dos recamaras con acceso a la terraza superior, chimenea, cochera eléctrica para dos autos, cuarto de lavado, patio trasero independiente, cisterna y portones eléctricos.Cuenta con excelentes acabados de cantera, madera y hierro.Agenda tu cita, sera un placer atenderte.",2023-03-29
2,S1,4810000,4810000,267556.03,2024-09-19,CASA EN VENTA COL JARDINES DEL SUR TULANCINGO DE BRAVO HIDALGO,228,360,21096.491228070176,13361.111111111111,2023-04-28,12,2024-04-30,Casa,Venta,0,4,0,0,0.0,No,Jardines del Sur,0,"Fraccionamiento Jardines del Sur, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-d5a3d45f5dbe-72d8-ae5720cb-bf37-39c1,"GRAN OPORTUNIDAD!! Adquiere esta propiedad de forma segura, esta propiedad se encuentra ubicada en Calle Franz Von Liszt, Col. Jardines del Sur, Tulancingo de Bravo Hidalgo Está propiedad es de “REMATE BANCARIO”, por lo que, puedes obtenerla por abajo de su valor comercial. “EN ESTE TIPO DE PROPIEDADES NO SE PUEDE APLICAR NINGUN TIPO DE CRÉDITO” ÚNICAMENTE SE ACEPTA PAGO DE CONTADO. 1er. Pago $630,000 la diferencia se paga a la entrega de la Cesión de Derechos, lo cual, se hace ante NOTARIO PÚBLICO. Para su mayor certeza en la operación, de inicio se firma un contrato de servicios que le respalda en el tiempo y la entrega de la propiedad. Agenda tu cita para darte detalles del proceso de adquisición, con gusto te atenderé Araceli Casas Tel. Ver teléfono Whatsapp E-mail Contactar ""SOMOS GRUPO ANTHAM, NOS ESPECIALIZAMOS EN REMATES BANCARIOS, TE ASESORAMOS DESDE EL INICIO Y HASTA LA ENTREGA DE LA PROPIEDAD” REF: ADJ-2193",2023-04-28
3,S1,4500000,4500000,250312.3,2024-09-19,"Se vende casa en Tulancingo, Fraccionamiento San Francisco Huatengo.",200,287,22500.0,15679.4425087108,2024-01-11,3,2024-04-30,Casa,Venta,0,0,0,0,0.0,No,La Quinta,0,"Residencial La Quinta, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-cfbd09274c36-b108-c2a1f4e9-ad07-1237,"Se vende casa en Tulancingo Hidalgo Fraccionamiento San Francisco Huatengo 200 m de terreno Planta Baja:comedor sala Cocina equipada Barra con bancos Cuarto de despensaÁrea de cantina y cantina integrada Amplio jardín con fuente y luz integrada Medio baño Planta alta: Recama principal con clóset vestidor una habitación completa con 2 clóset amplios Baño completo y tina de hidromasaje 2 recámaras junior con clóset y terraza Un baño completo Segunda planta Cuarto de servicio (cabe una habitación matrimonial)Baño completo Cuarto de visitas o área de juegos Roof garden, asador, velaría y cuarto de trebejos200 m de terreno y 287.20 de construcción",2024-01-11
4,S1,4300000,4300000,239187.31,2024-09-19,"Casa en Venta, Col. La Morena. Tulancingo. Pachuca.",160,240,26875.0,17916.666666666668,2023-09-13,7,2024-04-30,Casa,Venta,1,5,1,0,1.0,No,Unidad Habitacional La Morena,0,"Unidad Habitacional La Morena, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-76d564d8c2b1-d515-4c729ba5-b486-46e3,"Bonita casa en venta ubicada en la colonia La Morena.Esta es una excelente ubicación en donde podrás encontrar todo tipo de comercio ( cerca a supermercados, restaurantes, farmacias, etc). Además, tienes escuelas de diferentes niveles en la zona, centros medicos, facilidad para tomar transporte, y rápido acceso a diferentes vías publicas que te conectan con la ciudad.La casa cuenta con 240 m2 de área construida, con sus espacios distribuidos de la siguiente manera:- 3 plantas con espacios amplios y bien iluminados.- 5 recamaras ( 1 recámara en planta baja con baño completo y closet 3 recámaras en 2o. Nivel, la recámara principal cuenta con closet y baño amplios con jacuzzi, 2 recámaras comparten baño. Todas las recámaras tienen piso laminado y closets amplioscolor chocolate. En 3er. Nivel tiene 1 recámara de Servicio con baño completo.)- 4 baños completos / 1 medio baño.- 2 espacios de estacionamiento techado con policarbonato.- Cocina integral ( estufa, campana, horno, alacena, barra)- Cuarto de lavado y tendido.- Jardín o área verde.- Cuenta con calentador solar, calentador de gas y cisterna de 8 mil lts.- Puede venderse amueblada (sala y comedor)Excelente oportunidad de compra.Contactanos y agenda tu visita",2023-09-13
5,A3,3946465,3946465,219521.94,2024-09-19,VENTA DE CASA EN PEDREGAL DE SAN FRANCISCO TULANCINGO DE BRAVO HIDALGO GDS/AS,150,150,26309.766666666663,26309.766666666663,2024-02-21,2,2024-04-30,Casa En Fraccionamiento,Venta,1,3,1,0,1.0,No,Tulancingo de Bravo,0,"Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-dfeffb37df74-1249-f8860080-9ed3-4249,"Excelente Oportunidad de Inversión  “Sin Crédito Hipotecario”Te ofrecemos: Excelente Ubicación, Vialidades muy cercanas, Centros Comerciales, Áreas Verdes ó Jardín, Privacidad, Seguridad, Zona con Alta Plusvalía,ID: ST5260Somos una excelente Opción para invertir, contáctame:Gregorio De los SantosContactarMóvil Ver teléfono Whatsapp* Precios y disponibilidad sujetos a cambios e imágenes ilustrativasAS",2024-02-21
6,,3750000,3750000,208593.58,2024-09-19,"CASA DE 1 NIVEL EN LA MORENA, TULANCINGO",160,240,23437.5,15625.0,2023-04-21,12,2024-04-30,Casa,Venta,1,4,4,0,4.0,No,Unidad Habitacional La Morena,0,"Unidad Habitacional La Morena, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-5b029fa4b8c7-f083-3a6060f6-9bd2-39bf,"CASA EN VENTA COLONIA LA MORENALa Morena es una zona con excelente plusvalía se ubica a solo 5 min. del centro de Tulancingo, central de autobuses y a 3 min. de la central de abastos. Tiene acceso a la carretera Tulancingo-Pachuca.En la zona encontrarás todos los servicios a tu alcance para las necesidades básicas de tu hogar, tiendas locales, tiendas de auto-servicio, panaderías, restaurantes, lavanderías, Oxxo y a 5 min. de bodega Aurrera.La casa cuenta con:Planta baja:  Sala a desnivel.  Comedor.  Cocina equipada.  Cochera para 2 autos con puerta automatizada.  1/2 baño.  Terraza trasera.  Cuarto de servicio grande y completo.  Área de lavado.Planta alta:  4 recámaras con clósets.  Recámara principal con jacuzzi.  4 baños.Pregunta por la forma de pago.PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio publicado corresponde a la propiedad, NO incluye gastos de escrituración u otros conceptos.Horario de atenciónLunes a viernes: 10:00 a 14:00 y 17:00 a 19:00Sábados: 10:00 a 14:00Domingos: previa citaMayores informes y citas: Ver teléfono Whatsapp // WhatsApp // WhatsApp // WhatsApp""HAY UN LUGAR ESPERANDO SER TU HOGAR""",2023-04-21
7,A2,3555000,3555000,197746.72,2024-09-19,"VENTA DE CASA EN CALLE FRANZ VON LISZT, FRACC. JARDINES DEL SUR, TULANCINGO HIDALGO MÉXICO, ¡NO SE ACEPTAN CRÉDITOS!",228,360,15592.105263157897,9875.0,2024-01-09,3,2024-04-30,Casa En Fraccionamiento,Venta,1,4,1,0,1.0,No,Jardines del Sur,0,"Fraccionamiento Jardines del Sur, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-f965e0ae6b2f-b1c8-8cf5147d-97dd-4d3e,"CASA DE RECUPERACIÓN BANCARIA ADJUDICADO, SE ENTREGA CESION DE DERECHOS EN UN MAXIMO DE 90 DIAS, SE ADQUIERE ÚNICAMENTE CON RECURSOS PROPIOS, NO SE ACEPTAN CRÉDITOS HIPOTECARIOS (BANCARIOS, INFONAVIT, FOVISSSTE)CON EXCELENTE PRECIO Y UBICACIÓN. TENEMOS A LA VENTA.INMUEBLE  Muy cerca de vías principales de acceso, zona de escuelas y parques. Consta: Sala, Comedor Cocina, 4 Recamaras, 3.5 Baños y 1 Lugar de Estacionamiento. Manejamos cartera vencida, proveniente de instituciones financieras, ofrecemos inversiones inmobiliarias con altos rendimientos. Todo garantizado por contrato, con tiempos límite para entrega establecido. Nuestras Cesión de Derechos se efectúan ante Notario Público.Nuestra especialidad es la intermediación entre las instituciones financieras y el cliente final o inversionista, nos encargamos de todo el procedimiento jurídico que conlleva adquirir este tipo de inversiones, hasta la entrega de las mismas, esto significa que hacemos entrega física y material de la propiedad. Nuestro contrato estipula un máximo de tiempo para entrega del inmueble, garantizado.*NOSOTROS NOS HACEMOS CARGO DEL PROCEDIMIENTO HASTA LA ENTREGA DEL INMUEBLE.*COMPRA A UN PRECIO MENOR DEL VALOR COMERCIAL.*NO SE ACEPTA NINGÚN TIPO DE CRÉDITO (INFONAVIT, FOVISSSTE O BANCARIO).*CESIÓN ANTE NOTARIO PÚBLICO.*SE ENTREGA COMPLETAMENTE VACIO.*PLUSVALÍA INMEDIATA.*NUESTRO CONTRATO ESTIPULA UN TIEMPO MÁXIMO PARA LA ENTREGA DE CESION DE DERECHOS.* ASESORÍA DURANTE TODO EL PROCESO HASTA LA ENTREGA DEL INMUEBLE SIN COSTO EXTRA.*NO SE MUESTRA POR DENTRO DEBIDO AL MOMENTO PROCESAL.*PRIMER PAGO SE REALIZA A LA FIRMA DE CONTRATO DE PRESTACIÓN DE SERVICIOS, SEGUNDO PAGO CONTRA ENTREGA DE LA CESIÓN DE DERECHOSLlame y agende una cita en nuestras oficinas para explicarle sin compromiso los detalles y procedimientos de la adquisición de la propiedad.",2024-01-09
8,A1,3400000,3400000,189124.85,2024-09-19,VENTA DE CASA DE LUJO CENTRICA DE TULANCINGO 3 RECAMARAS,200,200,17000.0,17000.0,2024-02-20,2,2024-04-30,Casa,Venta,1,3,1,0,1.0,No,Santa Ana,0,"Fraccionamiento Santa Ana, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-7b50f7d88d98-1e26-b3b98b79-bf7b-1f12,"VENTA DE CASA POR LA MEGA PRECIO: $3,400,000CERCANIA CON  PLAZA PATIOCENTROS COMERCIALOFFICE DEPOTZONA DE BANCOS SUBURBIAVIPS WALMARTCERCANIA CON LA CARRETERA MÉXICO TUXPANCERCANÍA CON LA UNIVERSIDAD AGROPECUARIA Y TECNOLÓGICA DE TULANCINGO 3 recamarasSalaComedorCocina Jardín EstacionamientoPatio de servicio2 baños y medio Terreno 200 M2Construcción 200 M2Acabados de lujo Visita nuestra página webContactar",2024-02-20
9,A1,3350000,3350000,186343.6,2024-09-19,VENTA DE CASA AMPLIA Y DE LUJO SEMICENTRICA TULANCINGO 3 RECAMARAS,200,200,16750.0,16750.0,2024-02-20,2,2024-04-30,Casa,Venta,1,4,1,0,1.0,No,Santa Ana,0,"Fraccionamiento Santa Ana, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-7b50f7d88d98-32e7-bb7921b9-bf7b-1f12,"VENTA DE CASA  DE LUJO SANTA ANNAPRECIO $ 3,350,000Fraccionamiento privado Terreno 200 metros Construcción 265 metros Casa de lujo 4 recamaras, un estudio Sala comedor cocina jardín estacionamiento patio de servicio 3.5 baños y medioCERCANIA AL CENTRO DE TULANCINGOCERCA DE PLAZA PATIOCERCANÍA A ZONA DE BANCOS CERCANIA A WALMART Y MEGA SORIANA CERCANIA A UNIVERSIDAD AGROPECUARIA Y TECNOLÓGICA DE TULANCINGOCERCANIA DE LA CARRETERA MÉXICO TUXPAN VISITA NUESTRA PÁGINA WEBContactarACEPTO CRÉDITOS INFONAVIT FOVISSSTE ISSFAM IMSS CFE BANCARIOS PAGOS DE CONTADOASESORIA INMOBILIARIA Y JURÍDICA GRATIS",2024-02-20
10,B3,3200000,3200000,177999.86,2024-09-19,VENTA SE CASA ECONOMICA Y DE LUJO EN TULANCINGO HIDALGO 3 RECAMARAS,140,140,22857.14285714286,22857.14285714286,2024-02-20,2,2024-04-30,Casa,Venta,1,3,1,0,1.0,No,Las Presas,0,"Las Presas, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-7b50f7d88d98-17e4-5eb74799-bf7b-1f12,VENTA DE CASA DE LUJO EN FRACCIONAMIENTO EXCLUSIVO DE TULANCINGO3 RECAMARASLA PRINCIPAL CON VESTIDOR Y BALCÓN 2 BAÑOS Y MEDIOSALA COMEDORCOCINA CON DESAYUNADORJARDIN ESTACIONAMIENTO PARA 2 AUTOSPATIO DE SERVICIOTANQUE ESTACIONARIO 140 METROS DE TERRENO  160 METROS DE CONSTRUCCIÓNCERCANIA CON LA MEGA TULANCINGOCERCANIA CON EL CENTRO DE TULANCINGOCERCANIA A LA CARRETERA MÉXICO TUXPAN CERCANIA CON LA UNIVERSIDAD TECNOLOGICA DE TULANCINGOY LA UNIVERSIDAD AGROPECUARIA,2024-02-20
